Plant ID	Condition	Species	Genotype	Variety	GrowthCondition	Treatment	Sequence	Day	Time	Day (Int)	Weight A (g)	Weight B (g)	Water (weight-diff)	fluo.side	fluo.top	vis.side	vis.top	nir.side	nir.top
1107BA1350	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:15:13 CET 2011	1	14236	14330	94	94	0	0	0	0	
1107BA1390	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:15:31 CET 2011	1	14263	14358	95	95	0	0	0	0	
1107BA1382	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:15:48 CET 2011	1	14202	14297	95	95	0	0	0	0	
1107BA1365	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:16:05 CET 2011	1	14216	14310	94	94	0	0	0	0	
1107BA1386	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:16:22 CET 2011	1	14230	14325	95	95	0	0	0	0	
1107BA1360	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:16:39 CET 2011	1	14223	14318	95	95	0	0	0	0	
1107BA1359	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:16:56 CET 2011	1	14194	14291	97	97	0	0	0	0	
1107BA1325	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:17:13 CET 2011	1	14241	14336	95	95	0	0	0	0	
1107BA1335	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:17:30 CET 2011	1	14235	14328	93	93	0	0	0	0	
1107BA1354	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:17:47 CET 2011	1	14240	14334	94	94	0	0	0	0	
1107BA1191	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:18:04 CET 2011	1	14197	14292	95	95	0	0	0	0	
1107BA1010	0: Maize/Fernandez (Corn)	Maize	Fernandez			Corn		day 1	Wed Mar 02 10:22:24 CET 2011	1	14177	14272	95	95	0	0	0	0	
